Date,Open,High,Low,Close,GDP,Unemployment Rate,Interest Rate,M2 Money Supply,Inflation
1993-03-29,681.67,683.64,680.75,680.76,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-30,682.59,686.25,682.59,686.25,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-31,687.8,692.22,688.9,690.13,6729.459,7.0,3.0,3411.7,3.334428143
1993-04-01,690.24,690.74,686.6,686.64,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-02,683.9,680.58,669.85,669.85,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-05,670.86,670.71,670.71,670.71,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-06,672.32,673.19,664.14,664.14,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-07,664.23,668.88,668.88,668.88,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-08,668.97,666.33,666.33,666.33,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-12,668.27,673.21,669.99,673.12,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-13,674.52,677.58,673.47,673.83,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-14,673.95,674.0,672.51,673.94,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-15,673.09,672.47,668.63,670.32,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-16,670.61,670.51,666.48,666.78,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-19,667.22,664.2,660.25,663.03,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-20,663.41,661.97,661.97,661.97,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-21,662.96,664.1,660.84,664.04,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-22,663.49,668.29,662.36,663.51,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-23,664.08,662.3,657.92,658.41,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-26,658.33,657.49,645.87,645.87,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-27,646.72,652.53,645.02,652.52,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-28,654.04,658.16,658.16,658.16,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-29,657.94,658.45,658.45,658.45,6808.939,7.1,3.0,3411.3,3.404237829
1993-04-30,659.68,664.8,660.36,661.42,6808.939,7.1,3.0,3411.3,3.404237829
1993-05-03,662.29,666.71,661.91,666.71,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-04,669.38,678.16,671.15,678.16,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-05,677.3,683.5,676.91,683.26,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-06,684.31,684.03,679.21,680.04,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-07,680.19,682.32,679.65,681.44,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-10,682.47,683.93,682.82,682.82,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-11,682.29,683.07,680.31,683.06,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-12,682.38,681.69,681.69,681.69,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-13,680.86,677.94,674.51,675.64,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-14,675.64,676.37,673.99,676.37,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-17,676.81,678.69,675.91,677.96,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-18,679.19,680.85,678.86,680.78,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-19,681.78,690.43,679.13,690.43,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-20,691.63,697.71,692.92,697.43,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-21,696.65,696.76,693.06,694.29,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-24,692.74,696.2,691.52,694.69,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-25,694.2,695.04,693.05,695.04,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-26,694.92,704.09,695.64,704.09,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-27,705.69,706.71,703.7,704.59,6808.939,7.1,3.0,3436.9,3.532736691
1993-05-28,704.01,701.84,695.79,700.53,6808.939,7.1,3.0,3436.9,3.532736691
1993-06-01,701.16,705.68,700.35,704.28,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-02,704.48,706.15,703.18,705.86,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-03,705.86,706.41,702.72,706.22,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-04,704.57,703.22,701.34,702.01,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-07,703.69,703.35,694.61,694.61,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-08,693.14,690.95,686.34,687.74,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-09,688.09,691.14,686.51,689.24,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-10,688.88,689.31,686.2,688.05,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-11,690.25,693.19,693.19,693.19,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-14,694.15,697.21,695.41,696.41,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-15,698.13,699.13,696.74,697.34,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-16,697.92,697.86,693.57,696.25,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-17,697.01,695.94,695.94,695.94,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-18,697.16,689.59,689.59,689.59,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-21,690.54,689.42,687.43,688.74,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-22,689.35,689.13,686.09,686.77,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-23,687.42,687.06,684.61,684.79,6808.939,7.0,3.0,3442.4,3.569326945
1993-06-24,683.69,688.72,683.0,688.72,6808.939,7.0,3.0,3442.4,3.569326945
